idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
51,sofa,9.783503599464893,1,1,0,0,0.0053773159053069975,0.00555662326472357,0.08321562002607819,0.0007588437536514836,0.000956088822495091,256,256,733,853,0.010933939170030566
52,sofa,10.079367086291313,1,1,0,0,0.0034693069977314245,0.003722238234480883,0.05523633931188271,0.0002771041823819882,0.00037576139883364716,256,256,673,814,0.007191545232212307
53,sofa,8.586999028921127,1,1,0,0,0.0009455470891975687,0.002454566724296578,0.009761589908852931,0.00027552176869565046,0.000700324732891392,256,256,708,718,0.003400113813494147
54,sofa,8.371747098863125,1,1,0,0,0.0018878516994482936,0.003554079265380072,0.029792132645171762,0.00016113922728730468,0.0004894397533265291,256,256,715,810,0.005441930964828366
55,sofa,6.8914927542209625,1,1,0,0,0.0015039216215999378,0.001691952686626968,0.02017063430808003,0.0006527132038117306,0.00029857495581044015,256,256,723,732,0.003195874308226906
56,sofa,6.2861330807209015,1,1,0,0,0.001923654466071279,0.0027315245663505666,0.030379825693331843,0.00022992412443338943,0.000392771428398846,256,256,638,705,0.004655179032421845
57,sofa,10.091058909893036,1,1,0,0,0.004903995847925589,0.005541017665038932,0.07808259762326691,0.00039276613764647073,0.0011541223863610226,256,256,658,802,0.010445013512964521
58,sofa,6.152879446744919,1,1,0,0,0.002997825569169543,0.0020798478681380616,0.027888358639048767,0.00251826182500566,0.0007992854717509111,256,256,639,741,0.005077673437307605
59,sofa,9.276872500777245,1,1,0,0,0.00493738513712624,0.005721288957530908,0.0779318841548576,0.0004372288853592421,0.000846120193641661,256,256,670,838,0.010658674094657147
60,sofa,5.72911137714982,1,1,0,0,0.0007488699126834663,0.000969530138699445,0.00742359022744147,0.00048411918156117395,0.0001493050210767885,256,256,755,739,0.0017184000513829113
61,sofa,9.292911738157272,1,1,0,0,0.00046911549202121206,0.001957896884285962,0.005528183188170297,0.0002324009551164935,0.0004125830940938883,256,256,697,760,0.002427012376307174
62,sofa,9.416962042450905,1,1,0,0,0.0007917320685962198,0.001984608249842713,0.00936239586322577,0.00013076077551764462,0.0004343710590930935,256,256,697,768,0.0027763403184389327
63,sofa,5.452537443488836,1,1,0,0,0.0008041481167330652,0.0007383252308526513,0.008449722647304297,0.00033635398503158165,0.0003096897057692832,256,256,426,428,0.0015424733475857167
64,sofa,7.8754788264632225,1,1,0,0,0.0005455267691122358,0.001501494852234779,0.004628096837802475,0.0003480779346571733,0.00025532673851615204,256,256,748,767,0.0020470216213470146
65,sofa,8.985512889921665,1,1,0,0,0.006278602418616673,0.006885646493380513,0.0960350028276562,0.0015358790680703727,0.0008712137480231351,256,256,641,841,0.013164248911997186
